Date,Confirmed
2021-01-01,62580
2021-01-02,63475
2021-01-03,64370
2021-01-04,65265
2021-01-05,65570
2020-03-16,488
2020-03-17,518
2020-03-18,562
2020-03-19,677
2020-03-20,793
2020-03-21,916
2020-03-22,1040
2020-03-23,1170
2020-03-24,1277
2020-03-25,1359
2020-03-26,1577
2020-03-27,1828
2020-03-28,2077
2020-03-29,2203
2020-03-30,2330
2020-03-31,2445
2020-04-01,2560
2020-04-02,2675
2020-04-03,2839
2020-04-04,3003
2020-04-05,3167
2020-04-06,3331
2020-04-07,3395
2020-04-08,3460
2020-04-09,3668
2020-04-10,3884
2020-04-11,4047
2020-04-12,4241
2020-04-13,4517
2020-04-14,4596
2020-04-15,4676
2020-04-17,4796
2020-04-18,4865
2020-04-19,5135
2020-04-20,5259
2020-04-21,5343
2020-04-22,5427
2020-04-23,5479
2020-04-24,5532
2020-04-25,5637
2020-04-26,5739
2020-04-27,5863
2020-04-28,6001
2020-04-29,6103
2020-04-30,6207
2020-05-01,6274
2020-05-02,6351
2020-05-03,6448
2020-05-04,6545
2020-05-05,6583
2020-05-06,6621
2020-05-07,6809
2020-05-08,6863
2020-05-09,6947
2020-05-10,6977
2020-05-11,7007
2020-05-12,7137
2020-05-13,7212
2020-05-14,7290
2020-05-15,7325
2020-05-16,7426
2020-05-17,7472
2020-05-18,7493
2020-05-19,7515
2020-05-20,7565
2020-05-21,7602
2020-05-22,7630
2020-05-23,7669
2020-05-24,7783
2020-05-25,7826
2020-05-26,7830
2020-05-27,7835
2020-05-28,7863
2020-05-29,7949
2020-05-30,7971
2020-05-31,7993
2020-06-01,8092
2020-06-02,8123
2020-06-03,8177
2020-06-04,8318
2020-06-05,8371
2020-06-06,8417
2020-06-07,8457
2020-06-08,8496
2020-06-09,8529
2020-06-10,8539
2020-06-11,8550
2020-06-12,8611
2020-06-13,8694
2020-06-14,8722
2020-06-15,8786
2020-06-16,8850
2020-06-17,8885
2020-06-18,8924
2020-06-19,8963
2020-06-20,9061
2020-06-21,9154
2020-06-22,9211
2020-06-23,9366
2020-06-24,9409
2020-06-25,9453
2020-06-26,9672
2020-06-27,9740
2020-06-28,9809
2020-06-29,9895
2020-06-30,10177
2020-07-01,10304
2020-07-02,10419
2020-07-03,10535
2020-07-04,10782
2020-07-05,10861
2020-07-06,10941
2020-07-07,11182
2020-07-08,11233
2020-07-09,11284
2020-07-10,11419
2020-07-11,11568
2020-07-12,11696
2020-07-13,11825
2020-07-14,12213
2020-07-15,12325
2020-07-16,12558
2020-07-17,12662
2020-07-18,12766
2020-07-19,12953
2020-07-20,13319
2020-07-21,13384
2020-07-22,13450
2020-07-23,13835
2020-07-24,14026
2020-07-25,14249
2020-07-26,14333
2020-07-27,14417
2020-07-28,14579
2020-07-29,14717
2020-07-30,14856
2020-07-31,15025
2020-08-01,15207
2020-08-02,15390
